Runde;EINS;ZWEI;DREI;VIER;FUENF;SECHS
1;0;0;2;0;2;0
2;0;1;0;0;2;1
3;1;0;0;1;0;2
4;1;0;0;1;0;2
5;2;1;0;0;0;1
6;0;1;1;1;0;1
7;0;2;0;0;2;0
8;3;0;0;0;0;1
9;1;1;1;0;1;0
10;1;1;1;0;1;0
11;1;1;0;0;1;1
12;0;0;2;1;1;0
13;1;1;1;1;0;0
14;2;2;0;0;0;0
15;2;1;0;0;1;0
16;1;0;0;2;1;0
17;0;1;0;1;0;2
18;1;1;0;0;0;2
19;1;2;0;0;0;1
20;1;0;0;0;2;1
21;2;0;0;0;1;1
22;1;2;0;0;0;1
23;2;0;2;0;0;0
24;2;0;1;0;1;0
25;1;0;1;0;0;2
26;0;1;1;0;1;1
27;0;2;0;1;0;1
28;0;1;1;0;0;2
29;1;0;0;0;2;1
30;0;1;0;1;0;2
31;0;0;0;1;3;0
32;1;1;0;0;0;2
33;1;0;2;1;0;0
34;2;0;1;0;0;1
35;0;0;1;1;1;1
36;1;0;1;1;0;1
37;1;2;1;0;0;0
38;0;0;1;1;2;0
39;0;0;0;1;3;0
40;0;0;1;1;0;2
41;0;0;0;0;0;4
42;1;1;0;0;1;1
43;1;0;0;1;0;2
44;2;1;0;0;1;0
45;1;0;1;2;0;0
46;1;1;0;1;0;1
47;0;1;0;1;2;0
48;1;0;0;0;0;3
49;0;1;1;0;0;2
50;2;1;0;0;1;0
51;2;0;0;0;1;1
52;2;1;0;0;1;0
53;1;0;0;0;0;3
54;0;0;1;0;0;3
55;1;2;0;0;0;1
56;0;1;0;0;3;0
57;0;1;0;2;1;0
58;0;1;1;1;0;1
59;2;1;0;1;0;0
60;2;0;0;1;0;1
61;1;0;1;0;2;0
62;1;1;0;0;0;2
63;1;1;0;0;1;1
64;3;1;0;0;0;0
65;1;1;1;0;1;0
66;1;0;0;0;3;0
67;1;1;0;0;1;1
68;1;0;0;0;1;2
69;0;0;0;2;1;1
70;0;1;1;1;0;1
71;2;1;0;0;1;0
72;1;0;1;0;1;1
73;3;0;1;0;0;0
74;2;1;1;0;0;0
75;2;0;0;1;0;1
76;1;1;1;0;1;0
77;1;1;0;0;0;2
78;2;1;0;0;0;1
79;3;0;0;0;0;1
80;1;0;0;0;2;1
81;1;1;0;1;0;1
82;0;0;0;1;1;2
83;1;0;1;1;0;1
84;1;0;1;1;1;0
85;2;0;0;0;1;1
86;2;0;0;0;0;2
87;1;0;0;0;3;0
88;0;2;0;0;1;1
89;0;0;2;0;1;1
90;0;0;1;0;2;1
91;1;2;1;0;0;0
92;1;1;0;0;1;1
93;1;1;0;0;2;0
94;1;0;0;1;0;2
95;1;0;0;0;1;2
96;1;2;0;0;1;0
97;0;0;2;0;1;1
98;1;0;2;0;1;0
99;0;2;0;0;1;1
100;1;1;0;0;2;0
101;0;3;1;0;0;0
102;2;1;0;0;1;0
103;1;2;0;0;1;0
104;0;1;0;1;0;2
105;2;2;0;0;0;0
106;3;0;0;1;0;0
107;0;2;0;0;0;2
108;1;2;0;0;0;1
109;1;1;0;0;1;1
110;2;0;1;0;1;0
111;0;1;0;0;1;2
112;1;0;0;0;1;2
113;0;1;0;0;1;2
114;1;1;0;1;1;0
115;0;1;0;1;1;1
116;1;1;0;0;2;0
117;1;1;0;0;0;2
118;1;1;0;0;2;0
119;1;2;0;0;1;0
120;3;0;0;0;0;1
121;1;0;0;1;0;2
122;0;0;0;0;3;1
123;0;0;0;0;3;1
124;1;2;0;0;1;0
125;1;2;0;0;0;1
126;2;0;0;0;0;2
127;2;0;2;0;0;0
128;1;0;1;0;1;1
129;1;1;0;0;0;2
130;0;1;1;1;1;0
131;0;1;0;0;3;0
132;1;1;1;0;0;1
133;1;1;0;0;0;2
134;2;0;0;0;0;2
135;2;1;1;0;0;0
136;0;0;0;2;1;1
137;0;1;1;0;1;1
138;0;2;1;0;0;1
139;0;2;1;0;0;1
140;1;1;0;0;0;2
141;0;0;1;1;1;1
142;2;0;0;0;1;1
143;1;0;2;0;1;0
144;2;0;1;1;0;0
145;0;0;0;0;3;1
146;1;1;0;0;1;1
147;0;0;0;1;2;1
148;1;1;0;0;1;1
149;1;0;0;0;1;2
150;0;1;0;0;0;3
151;0;2;1;0;0;1
152;0;0;0;0;0;4
153;0;0;0;0;1;3
154;1;1;1;0;1;0
155;0;1;0;0;1;2
156;1;1;0;0;0;2
157;0;1;0;1;1;1
158;1;0;0;0;2;1
159;2;1;0;1;0;0
160;1;1;1;0;0;1
161;1;1;1;1;0;0
162;2;0;0;0;1;1
163;0;1;0;2;0;1
164;0;1;0;0;1;2
165;1;0;0;0;0;3
166;0;1;1;0;0;2
167;0;1;0;0;3;0
168;2;0;0;1;1;0
169;1;0;1;1;1;0
170;0;1;0;0;1;2
171;1;1;0;1;1;0
172;2;1;0;0;0;1
173;1;0;1;0;0;2
174;2;0;0;1;0;1
175;1;1;1;0;1;0
176;1;1;0;1;1;0
177;1;1;1;0;1;0
178;2;1;1;0;0;0
179;2;0;0;0;2;0
180;1;0;0;0;2;1
181;2;0;0;1;0;1
182;1;1;0;0;1;1
183;0;1;0;1;2;0
184;1;1;1;1;0;0
185;0;0;1;0;3;0
186;1;2;0;0;0;1
187;0;2;0;0;1;1
188;1;1;0;0;1;1
189;0;1;1;1;1;0
190;2;0;1;0;1;0
191;2;1;1;0;0;0
192;0;1;2;1;0;0
193;0;1;1;0;0;2
194;1;0;0;0;1;2
195;2;1;0;0;0;1
196;1;1;0;0;0;2
197;1;1;0;0;1;1
198;0;0;0;1;2;1
199;1;1;0;0;1;1
200;2;0;1;0;1;0
201;1;1;0;0;1;1
202;1;0;0;1;0;2
203;2;1;0;0;1;0
204;1;1;0;0;1;1
205;1;1;1;0;1;0
206;1;0;0;0;1;2
207;2;1;1;0;0;0
208;1;2;0;0;1;0
209;1;1;0;0;1;1
210;1;0;0;0;1;2
211;0;1;0;0;2;1
212;1;0;0;0;0;3
213;2;1;0;0;1;0
214;2;0;0;1;1;0
215;2;1;0;0;1;0
216;2;1;0;1;0;0
217;1;1;0;1;0;1
218;2;0;0;1;1;0
219;2;2;0;0;0;0
220;2;1;0;0;0;1
221;2;0;0;0;2;0
222;0;0;0;1;1;2
223;1;0;0;1;0;2
224;3;0;0;0;1;0
225;0;1;2;1;0;0
226;1;1;0;0;0;2
227;1;1;1;0;0;1
228;1;2;0;0;1;0
229;1;0;1;0;2;0
230;2;0;0;1;0;1
231;0;0;1;0;2;1
232;2;1;0;0;0;1
233;2;0;0;0;0;2
234;1;0;1;1;0;1
235;0;0;0;0;2;2
236;0;0;1;0;3;0
237;1;0;0;1;1;1
238;0;0;0;2;0;2
239;0;2;0;0;1;1
240;1;2;1;0;0;0
241;1;1;1;0;1;0
242;1;2;0;0;0;1
243;1;0;0;0;0;3
244;1;0;0;1;0;2
245;2;2;0;0;0;0
246;1;1;0;0;0;2
247;0;0;1;1;0;2
248;0;2;0;1;0;1
249;1;0;1;1;1;0
250;0;0;0;0;3;1
251;2;0;0;0;1;1
252;3;1;0;0;0;0
253;0;0;1;0;3;0
254;0;1;0;1;1;1
255;1;0;0;0;1;2
256;3;0;1;0;0;0
257;2;0;0;0;0;2
258;2;1;0;0;0;1
259;1;1;0;0;0;2
260;2;0;0;0;0;2
261;0;1;0;0;0;3
262;2;0;1;0;1;0
263;1;0;1;0;2;0
264;1;0;0;0;2;1
265;0;2;0;0;2;0
266;2;1;1;0;0;0
267;0;0;1;0;0;3
268;2;0;0;0;0;2
269;1;1;0;1;0;1
270;2;1;0;0;0;1
271;0;1;0;1;0;2
272;1;1;0;0;0;2
273;0;0;0;1;2;1
274;0;1;0;1;0;2
275;1;0;1;0;0;2
276;0;1;1;0;2;0
277;0;2;0;0;1;1
278;0;1;1;0;2;0
279;1;0;1;1;0;1
280;0;1;1;0;2;0
281;0;1;0;0;1;2
282;2;2;0;0;0;0
283;2;0;0;1;0;1
284;1;2;0;0;0;1
285;2;2;0;0;0;0
286;0;2;1;1;0;0
287;2;1;0;1;0;0
288;2;1;1;0;0;0
289;1;1;0;1;0;1
290;1;2;0;0;0;1
291;2;0;1;0;1;0
292;0;1;0;0;3;0
293;0;1;1;1;0;1
294;0;1;0;2;0;1
295;0;0;0;0;4;0
296;0;1;1;0;1;1
297;0;1;2;0;0;1
298;1;0;0;0;3;0
299;0;0;0;0;2;2
300;0;1;0;0;2;1
301;2;1;0;0;1;0
302;2;0;0;0;1;1
303;2;0;1;0;0;1
304;1;1;0;1;1;0
305;0;1;0;1;2;0
306;0;3;0;0;0;1
307;1;2;0;0;1;0
308;2;1;0;0;1;0
309;0;1;1;1;1;0
310;1;1;0;0;1;1
311;0;1;1;1;1;0
312;1;1;0;0;1;1
313;1;0;0;0;1;2
314;2;1;1;0;0;0
315;1;1;1;1;0;0
316;1;1;1;0;0;1
317;3;0;0;0;0;1
318;0;0;0;1;1;2
319;1;0;0;1;0;2
320;0;1;2;1;0;0
321;1;1;0;0;1;1
322;1;1;1;1;0;0
323;0;2;1;0;0;1
324;2;1;1;0;0;0
325;1;0;1;0;1;1
326;1;0;0;1;0;2
327;1;0;0;1;0;2
328;0;0;1;1;1;1
329;1;1;0;0;1;1
330;2;0;1;1;0;0
331;2;1;0;0;0;1
332;0;1;1;0;1;1
333;0;2;0;0;0;2
334;1;0;0;0;0;3
335;0;3;0;0;0;1
336;0;1;0;1;1;1
337;0;1;0;0;2;1
338;0;1;0;1;0;2
339;0;1;1;1;0;1
340;0;0;0;1;1;2
341;2;0;0;1;0;1
342;0;1;0;0;0;3
343;0;1;0;0;2;1
344;3;0;1;0;0;0
345;0;0;0;1;1;2
346;2;0;0;0;1;1
347;0;2;1;0;1;0
348;1;0;0;1;2;0
349;1;0;0;0;1;2
350;0;2;0;0;1;1
351;1;1;0;1;0;1
352;1;0;1;1;0;1
353;0;0;0;2;1;1
354;1;0;1;1;1;0
355;0;1;0;1;1;1
356;1;0;1;0;2;0
357;1;1;1;0;0;1
358;0;1;0;0;2;1
359;2;0;0;0;2;0
360;2;0;0;0;0;2
361;0;2;0;1;0;1
362;1;1;1;0;0;1
363;1;1;0;0;1;1
364;1;0;1;1;0;1
365;1;0;1;1;0;1
366;1;0;0;0;3;0
367;1;0;1;1;0;1
368;1;0;0;1;0;2
369;0;0;0;0;1;3
370;1;1;0;1;0;1
371;2;1;0;0;0;1
372;1;0;0;1;0;2
373;1;1;1;0;1;0
374;1;1;1;0;0;1
375;1;1;1;0;0;1
376;2;1;0;0;0;1
377;2;0;0;0;1;1
378;1;1;1;0;1;0
379;3;0;0;0;1;0
380;2;0;0;0;0;2
381;1;2;0;0;0;1
382;1;1;0;0;1;1
383;1;2;0;0;1;0
384;0;1;0;1;0;2
385;0;2;1;0;0;1
386;3;0;0;0;0;1
387;2;2;0;0;0;0
388;2;1;0;0;0;1
389;0;0;1;1;2;0
390;1;1;0;2;0;0
391;0;1;0;0;3;0
392;1;1;1;0;1;0
393;0;1;1;1;1;0
394;0;0;1;0;1;2
395;1;0;0;0;0;3
396;0;3;0;0;1;0
397;0;0;0;0;2;2
398;0;2;0;0;0;2
399;0;0;0;2;0;2
400;3;0;0;0;1;0
401;2;1;1;0;0;0
402;1;0;0;0;1;2
403;1;1;0;0;1;1
404;0;0;2;0;1;1
405;0;0;0;1;2;1
406;2;0;0;0;0;2
407;1;2;0;0;0;1
408;2;0;0;0;1;1
409;0;2;0;0;1;1
