Runde;EINS;ZWEI;DREI;VIER;FUENF;SECHS
1;1;0;1;1;1;0
2;1;0;1;0;0;2
3;0;0;2;1;1;0
4;1;0;1;0;2;0
5;0;1;0;1;1;1
6;0;1;0;1;0;2
7;0;0;1;0;1;2
8;1;1;0;0;2;0
9;0;1;1;0;2;0
10;0;0;0;1;1;2
11;0;0;1;1;1;1
12;0;1;2;1;0;0
13;1;0;0;0;2;1
14;0;1;0;1;1;1
15;1;0;0;2;1;0
16;1;2;0;0;1;0
17;0;0;1;0;1;2
18;0;1;0;1;1;1
19;1;0;0;3;0;0
20;1;2;0;0;1;0
21;0;1;1;1;1;0
22;0;1;0;1;1;1
23;0;1;1;1;1;0
24;1;0;2;0;1;0
25;0;2;0;0;1;1
26;0;0;0;2;2;0
27;0;0;1;0;2;1
28;0;2;1;0;1;0
29;0;2;0;0;0;2
30;0;0;0;1;2;1
31;1;1;1;0;1;0
32;0;0;1;0;2;1
33;3;0;1;0;0;0
34;1;1;1;1;0;0
35;0;1;0;3;0;0
36;0;0;0;1;2;1
37;1;0;1;2;0;0
38;0;3;0;1;0;0
39;1;1;0;2;0;0
40;0;0;1;3;0;0
41;1;1;0;0;2;0
42;1;0;2;1;0;0
43;0;1;1;2;0;0
44;1;0;1;0;1;1
45;0;0;1;0;1;2
46;1;0;1;1;0;1
47;0;1;3;0;0;0
48;0;1;1;1;0;1
49;1;0;2;0;0;1
50;1;0;1;0;1;1
51;1;0;0;2;1;0
52;0;2;2;0;0;0
53;1;0;1;0;0;2
54;1;2;0;0;0;1
55;0;2;0;0;1;1
56;1;1;1;1;0;0
57;0;0;2;1;0;1
58;0;0;0;2;1;1
59;2;0;0;0;1;1
60;1;0;1;0;1;1
61;0;0;1;1;1;1
62;1;2;1;0;0;0
63;2;0;0;0;0;2
64;0;0;1;1;2;0
65;0;1;1;0;1;1
66;0;0;2;0;2;0
67;1;1;0;2;0;0
68;0;0;1;2;1;0
69;0;0;1;1;2;0
70;1;2;0;0;1;0
71;0;1;0;0;2;1
72;0;0;1;2;0;1
73;0;1;0;1;2;0
74;0;2;0;2;0;0
75;1;1;0;1;0;1
76;2;1;0;0;0;1
77;1;0;0;2;0;1
78;0;1;1;1;1;0
79;0;2;1;1;0;0
80;0;2;0;1;0;1
81;1;1;1;0;0;1
82;0;1;1;1;1;0
83;0;1;1;1;1;0
84;0;0;1;0;1;2
85;0;0;1;2;0;1
86;0;1;1;1;1;0
87;1;0;0;1;2;0
88;1;2;0;0;0;1
89;0;1;1;0;2;0
90;0;0;0;0;3;1
91;0;0;0;3;0;1
92;0;1;1;1;1;0
93;0;0;2;1;1;0
94;0;1;1;0;1;1
95;0;2;0;0;2;0
96;1;0;1;0;2;0
97;0;0;0;1;1;2
98;0;2;0;0;2;0
99;1;0;1;0;0;2
100;0;0;1;0;2;1
101;0;1;1;1;1;0
102;0;1;0;1;1;1
103;0;0;0;2;1;1
104;0;1;1;0;1;1
105;0;2;2;0;0;0
106;0;0;1;1;2;0
107;1;1;0;2;0;0
108;1;1;0;0;0;2
109;1;0;0;2;0;1
110;0;0;1;0;1;2
111;2;0;0;1;0;1
112;2;0;1;1;0;0
113;0;0;0;0;3;1
114;0;1;0;2;1;0
115;1;2;1;0;0;0
116;1;1;0;0;2;0
117;1;0;0;0;2;1
118;1;1;0;1;1;0
119;1;1;1;0;1;0
120;0;1;2;0;1;0
121;0;1;0;1;1;1
122;0;1;0;2;1;0
123;1;0;1;1;0;1
124;0;0;0;1;2;1
125;0;0;2;0;2;0
126;1;1;1;1;0;0
127;2;0;0;0;2;0
128;0;0;0;0;4;0
129;0;1;0;0;2;1
130;2;1;1;0;0;0
131;0;2;1;1;0;0
132;0;1;0;0;1;2
133;0;0;2;0;1;1
134;0;1;0;1;1;1
135;0;1;0;2;1;0
136;0;1;2;1;0;0
137;0;0;0;1;1;2
138;0;1;0;3;0;0
139;1;1;0;1;1;0
140;0;2;0;2;0;0
141;0;0;1;0;1;2
142;1;1;0;1;1;0
143;0;1;0;1;0;2
144;0;1;1;0;2;0
145;1;0;1;1;1;0
146;0;1;1;1;0;1
147;1;2;0;1;0;0
148;0;2;1;1;0;0
149;0;0;2;0;1;1
150;0;2;0;0;1;1
151;1;1;0;0;1;1
152;0;1;2;0;1;0
153;2;0;1;1;0;0
154;0;1;2;1;0;0
155;0;0;0;3;0;1
156;1;0;1;2;0;0
157;0;2;0;0;1;1
158;1;0;2;1;0;0
159;0;2;0;1;0;1
160;0;0;0;1;3;0
161;1;1;1;0;1;0
162;0;0;1;2;0;1
163;0;2;0;2;0;0
164;0;0;0;0;1;3
165;0;1;2;0;0;1
166;1;1;0;1;0;1
167;2;0;1;1;0;0
168;1;1;1;1;0;0
169;0;0;1;1;0;2
170;1;1;0;0;2;0
171;1;2;0;0;0;1
172;0;1;0;1;2;0
173;1;0;2;0;1;0
174;0;1;1;2;0;0
175;0;2;0;1;1;0
176;0;0;1;2;1;0
177;1;2;1;0;0;0
178;1;2;0;0;0;1
179;0;1;0;2;0;1
180;1;1;1;0;1;0
181;1;0;1;1;0;1
182;0;1;0;2;1;0
183;1;0;0;1;1;1
184;1;0;0;1;0;2
185;2;0;0;1;0;1
186;1;0;1;2;0;0
187;0;1;0;1;0;2
188;0;0;1;0;1;2
189;1;0;1;0;2;0
190;0;1;1;1;0;1
191;0;2;1;0;0;1
192;0;0;2;1;1;0
193;0;0;1;2;0;1
