Runde;EINS;ZWEI;DREI;VIER;FUENF;SECHS
1;1;2;0;0;0;1
2;0;1;1;1;1;0
3;1;0;2;0;0;1
4;2;0;0;1;1;0
5;1;2;1;0;0;0
6;2;0;0;2;0;0
7;1;1;1;0;0;1
8;0;2;1;0;1;0
9;1;2;0;0;0;1
10;0;2;0;1;1;0
11;1;0;0;1;1;1
12;1;0;3;0;0;0
13;0;1;3;0;0;0
14;0;0;1;2;1;0
15;2;1;0;0;1;0
16;1;2;0;0;1;0
17;0;1;3;0;0;0
18;1;2;0;0;1;0
19;1;0;0;2;1;0
20;1;1;1;0;1;0
21;0;1;0;2;1;0
22;2;1;1;0;0;0
23;1;1;0;1;0;1
24;1;1;0;0;1;1
25;1;1;1;0;1;0
26;1;0;1;2;0;0
27;0;2;0;2;0;0
28;2;0;1;0;1;0
29;2;2;0;0;0;0
30;0;0;1;1;1;1
31;1;1;2;0;0;0
32;1;2;1;0;0;0
33;2;0;2;0;0;0
34;1;2;1;0;0;0
35;1;1;2;0;0;0
36;1;1;2;0;0;0
37;0;1;2;0;0;1
38;2;2;0;0;0;0
39;2;1;1;0;0;0
40;1;2;0;0;0;1
41;2;2;0;0;0;0
42;0;2;1;1;0;0
43;1;0;1;2;0;0
44;0;1;3;0;0;0
45;3;0;0;1;0;0
46;0;0;2;1;1;0
47;0;1;1;1;1;0
48;0;1;2;1;0;0
49;1;0;1;1;1;0
50;2;1;1;0;0;0
51;2;1;0;0;1;0
52;1;0;1;1;1;0
53;1;2;0;1;0;0
54;2;0;0;1;0;1
55;1;1;2;0;0;0
56;0;2;1;1;0;0
57;2;2;0;0;0;0
58;0;1;1;2;0;0
59;1;2;1;0;0;0
60;0;2;1;0;1;0
61;1;2;0;1;0;0
62;1;1;1;1;0;0
63;1;2;0;0;1;0
64;1;1;0;0;1;1
65;1;1;1;0;1;0
66;2;1;1;0;0;0
67;0;1;2;0;1;0
68;2;1;0;0;0;1
69;1;1;1;0;1;0
70;1;0;2;1;0;0
71;0;2;1;1;0;0
72;1;0;0;1;1;1
73;2;0;1;0;0;1
74;1;1;1;0;1;0
75;1;2;1;0;0;0
76;2;1;0;1;0;0
77;1;1;0;1;1;0
78;0;2;0;1;1;0
79;1;1;1;1;0;0
80;0;1;1;1;1;0
81;1;0;1;2;0;0
82;1;1;0;2;0;0
83;2;1;0;0;1;0
84;2;1;0;1;0;0
85;2;0;1;0;1;0
86;3;0;0;1;0;0
87;2;1;1;0;0;0
88;0;0;1;2;1;0
89;1;2;1;0;0;0
90;0;1;1;1;0;1
91;0;1;2;1;0;0
92;1;1;0;1;1;0
93;2;1;1;0;0;0
94;1;1;0;1;1;0
95;1;0;2;1;0;0
96;3;0;1;0;0;0
97;3;1;0;0;0;0
98;0;0;1;2;0;1
99;2;1;1;0;0;0
100;1;0;2;0;1;0
101;1;1;0;2;0;0
102;2;1;0;1;0;0
103;0;1;2;1;0;0
104;2;1;1;0;0;0
105;2;2;0;0;0;0
106;0;1;0;1;2;0
107;1;1;1;1;0;0
108;2;0;1;0;1;0
109;1;0;1;0;1;1
110;1;1;0;1;1;0
111;2;2;0;0;0;0
112;1;1;1;1;0;0
113;2;0;2;0;0;0
114;2;1;0;0;1;0
115;3;0;0;0;0;1
116;1;1;1;1;0;0
117;1;1;1;1;0;0
118;1;2;1;0;0;0
119;0;1;2;0;1;0
120;0;2;2;0;0;0
121;1;2;0;1;0;0
122;0;2;1;0;0;1
123;1;1;1;1;0;0
124;1;1;2;0;0;0
125;1;1;0;0;2;0
126;3;1;0;0;0;0
127;2;1;1;0;0;0
128;0;3;1;0;0;0
129;1;1;2;0;0;0
130;0;3;0;0;1;0
131;0;1;2;1;0;0
132;1;2;1;0;0;0
133;1;2;1;0;0;0
134;0;0;1;1;2;0
135;1;0;2;0;1;0
136;1;1;1;1;0;0
137;0;2;2;0;0;0
138;1;0;2;0;0;1
139;1;0;3;0;0;0
140;1;2;1;0;0;0
141;1;0;1;2;0;0
142;2;0;2;0;0;0
143;1;2;1;0;0;0
144;1;1;1;1;0;0
145;1;0;1;1;1;0
146;1;0;1;2;0;0
147;1;1;1;1;0;0
148;0;1;1;0;1;1
149;2;1;0;1;0;0
150;0;2;1;0;1;0
151;2;0;1;0;0;1
152;0;3;1;0;0;0
153;0;0;1;2;1;0
154;2;1;0;1;0;0
155;0;1;1;2;0;0
156;1;1;2;0;0;0
157;0;3;1;0;0;0
158;0;0;4;0;0;0
159;0;2;1;0;1;0
160;0;0;2;0;2;0
161;0;2;1;0;1;0
162;1;1;0;0;1;1
163;2;1;0;1;0;0
164;1;0;2;0;1;0
165;1;1;2;0;0;0
166;1;3;0;0;0;0
167;1;0;0;2;1;0
168;2;2;0;0;0;0
169;0;4;0;0;0;0
170;2;1;1;0;0;0
171;1;0;1;0;2;0
172;2;0;1;1;0;0
173;2;1;1;0;0;0
174;0;2;1;1;0;0
175;0;1;2;1;0;0
176;3;1;0;0;0;0
177;1;1;0;1;1;0
178;1;1;0;1;0;1
179;2;1;1;0;0;0
180;1;2;1;0;0;0
181;0;2;0;1;1;0
182;1;1;0;2;0;0
183;1;1;0;1;1;0
184;1;1;0;1;1;0
185;1;1;1;0;1;0
186;2;0;1;1;0;0
187;1;1;2;0;0;0
188;0;1;1;0;1;1
189;0;2;1;0;1;0
190;2;1;1;0;0;0
191;1;2;0;0;1;0
192;1;1;1;0;1;0
193;0;3;0;0;1;0
194;2;1;0;0;1;0
195;1;2;0;0;1;0
196;2;1;0;0;1;0
197;0;1;1;1;1;0
198;3;0;1;0;0;0
199;0;0;2;2;0;0
200;1;1;1;0;0;1
201;1;1;2;0;0;0
202;1;2;1;0;0;0
203;1;1;1;0;0;1
204;2;2;0;0;0;0
205;1;0;1;1;1;0
206;0;1;1;0;1;1
207;3;0;1;0;0;0
208;2;0;1;1;0;0
209;2;2;0;0;0;0
210;1;1;0;1;1;0
211;2;0;1;1;0;0
212;0;3;0;1;0;0
213;3;0;1;0;0;0
214;2;2;0;0;0;0
215;1;0;1;1;1;0
216;1;0;2;1;0;0
217;0;0;4;0;0;0
218;2;0;1;0;0;1
219;1;3;0;0;0;0
220;1;1;0;2;0;0
221;2;0;1;1;0;0
222;1;2;1;0;0;0
223;0;4;0;0;0;0
224;3;0;0;0;0;1
225;2;2;0;0;0;0
226;0;2;1;1;0;0
227;1;1;1;0;1;0
228;3;1;0;0;0;0
229;2;0;2;0;0;0
230;1;0;2;1;0;0
231;1;1;1;0;0;1
232;1;0;0;1;1;1
233;2;1;0;0;1;0
234;1;1;1;0;1;0
235;1;2;0;1;0;0
236;0;2;1;0;1;0
237;2;2;0;0;0;0
238;2;0;0;1;1;0
239;1;1;1;1;0;0
240;2;2;0;0;0;0
241;1;1;1;1;0;0
242;2;2;0;0;0;0
243;1;2;0;1;0;0
244;2;1;1;0;0;0
245;2;1;1;0;0;0
246;3;1;0;0;0;0
247;1;1;1;0;0;1
248;2;0;1;1;0;0
249;2;1;1;0;0;0
250;3;0;0;0;1;0
251;0;2;1;1;0;0
252;1;0;2;1;0;0
253;2;1;0;1;0;0
254;0;1;0;1;1;1
255;2;1;1;0;0;0
256;1;0;1;1;0;1
257;1;1;1;0;1;0
258;3;0;1;0;0;0
259;2;1;1;0;0;0
260;0;1;1;1;1;0
261;0;2;1;0;1;0
262;1;1;1;0;0;1
263;2;0;1;0;1;0
264;0;3;0;0;1;0
265;1;1;2;0;0;0
266;1;0;1;1;0;1
267;1;0;1;2;0;0
268;2;1;0;0;0;1
269;1;0;1;1;1;0
270;1;0;1;2;0;0
271;0;2;1;1;0;0
272;3;0;1;0;0;0
273;3;0;1;0;0;0
274;1;2;1;0;0;0
275;0;1;1;1;0;1
276;4;0;0;0;0;0
277;1;0;1;0;2;0
278;1;1;1;0;1;0
279;0;0;2;0;1;1
280;0;1;2;0;0;1
281;1;1;1;0;1;0
282;3;1;0;0;0;0
283;1;0;1;1;0;1
284;1;1;0;2;0;0
285;0;1;1;0;2;0
286;1;1;0;2;0;0
287;0;2;0;1;1;0
288;2;2;0;0;0;0
289;1;1;1;1;0;0
290;0;3;0;0;1;0
291;1;1;0;1;1;0
292;1;1;0;1;1;0
293;3;0;0;1;0;0
294;1;1;0;1;1;0
295;2;1;1;0;0;0
296;1;0;3;0;0;0
297;2;1;1;0;0;0
298;1;0;1;0;1;1
299;2;0;1;0;0;1
300;2;1;1;0;0;0
301;1;0;2;0;1;0
302;3;1;0;0;0;0
303;1;2;1;0;0;0
304;0;1;1;2;0;0
305;0;1;2;1;0;0
306;1;3;0;0;0;0
307;0;2;1;1;0;0
308;1;2;0;1;0;0
309;0;0;1;1;1;1
310;2;0;0;2;0;0
311;1;0;1;2;0;0
312;0;1;0;1;2;0
313;2;1;1;0;0;0
314;1;1;1;0;1;0
315;2;1;1;0;0;0
316;1;1;1;0;0;1
317;0;0;1;0;2;1
318;0;0;2;1;1;0
319;0;1;1;1;1;0
320;4;0;0;0;0;0
321;2;2;0;0;0;0
322;2;1;0;1;0;0
323;0;1;1;1;1;0
324;1;2;1;0;0;0
325;0;1;1;1;1;0
326;1;0;1;1;1;0
327;2;1;0;0;1;0
328;1;2;1;0;0;0
329;1;1;2;0;0;0
330;1;0;1;0;1;1
331;0;2;2;0;0;0
332;0;1;1;2;0;0
333;3;0;1;0;0;0
334;1;2;1;0;0;0
335;1;1;1;0;1;0
336;1;1;0;0;1;1
337;2;1;0;1;0;0
338;0;1;2;1;0;0
339;1;1;0;0;2;0
340;0;2;0;2;0;0
341;1;1;1;0;1;0
342;0;1;3;0;0;0
343;0;1;3;0;0;0
344;0;1;1;1;1;0
345;1;0;3;0;0;0
346;1;1;0;0;1;1
347;1;3;0;0;0;0
348;2;1;0;0;1;0
349;1;1;2;0;0;0
350;0;2;0;0;1;1
351;0;1;2;1;0;0
352;2;1;0;0;1;0
353;1;1;1;1;0;0
354;3;0;1;0;0;0
355;2;1;0;1;0;0
356;1;2;0;1;0;0
357;1;2;0;0;1;0
358;0;2;0;0;1;1
359;1;1;1;0;1;0
360;1;1;2;0;0;0
361;1;1;2;0;0;0
362;2;1;0;0;1;0
363;0;2;1;1;0;0
364;0;2;1;1;0;0
365;1;2;0;1;0;0
366;1;0;0;2;1;0
367;2;2;0;0;0;0
368;2;0;1;1;0;0
369;2;0;1;1;0;0
370;1;2;1;0;0;0
371;0;2;2;0;0;0
372;1;0;1;0;1;1
373;0;3;0;0;1;0
374;0;2;2;0;0;0
375;2;2;0;0;0;0
376;0;1;3;0;0;0
377;2;1;1;0;0;0
378;3;0;0;1;0;0
379;2;2;0;0;0;0
380;1;1;0;1;1;0
381;1;1;1;0;0;1
382;1;0;2;1;0;0
383;1;1;2;0;0;0
384;1;1;2;0;0;0
385;2;2;0;0;0;0
386;3;1;0;0;0;0
387;4;0;0;0;0;0
388;2;0;1;1;0;0
389;2;0;2;0;0;0
390;1;2;1;0;0;0
391;0;2;1;1;0;0
392;1;1;1;1;0;0
393;1;1;2;0;0;0
394;2;0;1;0;0;1
395;1;1;1;1;0;0
396;3;0;0;1;0;0
397;2;0;1;1;0;0
398;2;0;1;0;0;1
399;1;1;2;0;0;0
400;0;1;2;1;0;0
401;1;2;0;1;0;0
402;0;0;2;0;1;1
403;3;1;0;0;0;0
404;1;0;1;2;0;0
405;3;0;1;0;0;0
406;1;0;1;1;0;1
407;0;3;0;1;0;0
408;1;1;0;2;0;0
409;2;0;0;1;1;0
410;0;1;0;2;1;0
411;2;2;0;0;0;0
412;1;1;1;1;0;0
413;1;2;0;0;1;0
414;2;0;0;2;0;0
415;1;2;1;0;0;0
416;2;1;1;0;0;0
417;2;1;0;0;0;1
418;1;0;2;1;0;0
419;1;1;0;1;1;0
420;1;1;2;0;0;0
421;1;0;2;1;0;0
422;2;1;0;1;0;0
423;1;1;2;0;0;0
424;1;0;2;0;0;1
425;2;2;0;0;0;0
426;1;1;0;1;1;0
427;2;1;0;0;1;0
428;1;1;2;0;0;0
429;2;0;0;1;1;0
430;2;1;0;0;1;0
431;2;1;0;0;1;0
432;0;0;0;2;1;1
433;1;1;1;1;0;0
434;0;1;1;2;0;0
435;1;2;0;1;0;0
436;0;0;3;1;0;0
437;2;2;0;0;0;0
438;0;3;0;1;0;0
439;0;4;0;0;0;0
440;2;1;0;0;1;0
