Runde;EINS;ZWEI;DREI;VIER;FUENF;SECHS
1;1;0;1;0;1;1
2;0;1;1;0;2;0
3;0;2;2;0;0;0
4;0;1;1;1;0;1
5;1;1;0;2;0;0
6;1;0;1;1;1;0
7;0;0;2;0;1;1
8;0;2;1;0;1;0
9;1;0;1;1;1;0
10;0;0;1;0;2;1
11;0;0;1;1;1;1
12;0;2;1;1;0;0
13;0;0;0;3;1;0
14;1;1;1;1;0;0
15;0;0;0;3;0;1
16;0;1;0;1;1;1
17;0;3;0;1;0;0
18;0;2;1;1;0;0
19;0;1;1;1;0;1
20;0;1;2;1;0;0
21;0;2;0;1;1;0
22;0;0;1;1;1;1
23;1;0;1;2;0;0
24;0;0;2;0;0;2
25;0;0;2;1;0;1
26;0;1;0;1;1;1
27;0;0;1;1;2;0
28;1;0;1;2;0;0
29;0;1;1;1;1;0
30;1;0;2;1;0;0
31;1;0;0;1;1;1
32;0;1;1;2;0;0
33;0;1;1;0;2;0
34;0;1;0;0;3;0
35;0;2;2;0;0;0
36;0;0;2;2;0;0
37;1;0;1;2;0;0
38;0;2;0;0;2;0
39;1;0;0;1;1;1
40;2;0;0;0;1;1
41;0;0;1;1;2;0
42;0;1;0;1;2;0
43;1;0;1;2;0;0
44;0;0;2;1;1;0
45;0;0;2;0;2;0
46;0;0;1;1;2;0
47;1;0;1;1;1;0
48;0;0;0;1;3;0
49;0;0;2;2;0;0
50;1;0;1;2;0;0
51;0;1;3;0;0;0
52;0;2;0;1;1;0
53;0;1;0;0;1;2
54;0;1;0;2;1;0
55;1;0;0;2;1;0
56;2;0;0;0;1;1
57;0;0;1;1;2;0
58;0;1;1;1;1;0
59;1;0;1;0;0;2
60;0;1;1;1;0;1
61;0;1;1;1;1;0
62;0;0;0;3;1;0
63;1;0;1;0;1;1
64;1;1;1;0;0;1
65;1;0;0;0;2;1
66;0;1;0;2;1;0
67;1;1;0;1;1;0
68;0;2;1;1;0;0
69;0;2;1;1;0;0
70;0;1;1;0;2;0
71;1;1;2;0;0;0
72;0;0;0;2;2;0
73;0;1;1;0;1;1
74;0;0;1;2;1;0
75;1;1;0;1;1;0
76;0;0;2;2;0;0
77;1;2;0;1;0;0
78;0;0;2;0;1;1
79;0;0;1;1;2;0
80;1;1;1;1;0;0
81;0;1;1;1;0;1
82;0;1;1;1;0;1
83;0;1;1;1;1;0
84;0;1;1;2;0;0
85;1;1;1;1;0;0
86;1;1;0;0;0;2
87;0;0;2;1;0;1
88;0;0;0;0;3;1
89;0;1;0;1;2;0
90;0;0;1;2;0;1
91;1;0;1;1;0;1
92;0;0;2;1;1;0
93;0;3;1;0;0;0
94;0;1;0;0;3;0
95;0;1;1;1;0;1
96;0;0;3;0;1;0
97;0;0;1;2;0;1
98;0;1;2;1;0;0
99;1;0;1;0;1;1
100;0;1;1;2;0;0
101;0;1;1;1;1;0
102;1;1;1;0;1;0
103;0;1;1;1;0;1
104;1;1;1;0;1;0
105;0;1;1;2;0;0
106;0;1;0;3;0;0
107;0;0;2;2;0;0
108;0;0;2;2;0;0
109;2;0;0;2;0;0
110;0;2;2;0;0;0
111;2;0;0;0;1;1
112;0;0;3;0;0;1
113;0;0;2;0;2;0
114;0;0;1;0;2;1
115;0;3;1;0;0;0
116;1;1;1;1;0;0
117;0;0;3;0;1;0
118;0;0;1;2;0;1
119;0;2;1;0;1;0
120;0;0;0;2;2;0
121;0;0;1;3;0;0
122;0;2;1;0;1;0
123;1;2;1;0;0;0
124;0;2;0;1;0;1
125;0;0;2;1;0;1
126;0;1;1;1;0;1
127;0;0;3;0;1;0
128;1;1;0;1;0;1
129;0;0;1;1;2;0
130;0;2;0;1;1;0
131;0;0;1;2;1;0
132;1;1;0;2;0;0
133;1;0;1;1;0;1
134;0;2;0;2;0;0
135;0;2;0;2;0;0
136;0;1;0;2;1;0
137;0;2;1;1;0;0
138;0;0;1;1;2;0
139;1;0;2;1;0;0
140;0;2;0;2;0;0
141;0;0;1;1;1;1
142;0;1;2;0;0;1
143;0;1;1;2;0;0
144;0;1;1;2;0;0
145;2;0;2;0;0;0
146;0;1;1;0;2;0
147;0;1;1;2;0;0
148;0;2;0;1;1;0
149;0;1;1;0;2;0
150;0;0;1;1;1;1
151;1;2;1;0;0;0
152;0;0;1;3;0;0
153;0;1;0;1;2;0
154;0;2;0;0;2;0
155;0;0;1;1;2;0
156;0;0;3;0;0;1
157;0;0;3;1;0;0
158;1;1;0;1;1;0
159;0;0;2;2;0;0
160;0;0;0;1;3;0
161;0;1;1;0;1;1
162;0;1;1;0;1;1
163;1;0;1;0;0;2
164;0;0;2;1;0;1
165;0;2;0;2;0;0
166;0;1;0;1;1;1
167;0;0;2;0;1;1
168;0;1;1;0;1;1
169;0;1;1;1;1;0
170;0;1;1;2;0;0
171;0;0;1;1;0;2
172;0;0;2;1;0;1
173;0;1;0;3;0;0
174;0;1;2;1;0;0
175;0;1;1;2;0;0
176;0;1;1;0;2;0
177;1;1;1;1;0;0
178;0;0;1;1;2;0
179;1;0;1;0;1;1
180;0;1;3;0;0;0
181;0;0;2;1;1;0
182;0;0;1;0;3;0
183;0;1;1;1;0;1
184;0;2;1;0;1;0
185;0;0;0;1;2;1
186;0;0;0;1;3;0
187;0;0;2;1;1;0
188;0;1;1;1;1;0
189;2;0;0;1;1;0
190;1;0;0;3;0;0
191;0;0;1;1;2;0
192;0;0;1;2;1;0
193;0;0;2;1;1;0
194;0;0;1;0;2;1
195;1;1;0;2;0;0
196;0;1;2;0;1;0
197;1;1;0;0;1;1
198;0;1;3;0;0;0
199;0;0;2;2;0;0
200;0;0;0;0;3;1
201;0;2;1;1;0;0
202;1;0;0;2;1;0
203;0;1;1;0;2;0
204;0;0;2;0;1;1
205;1;2;0;0;1;0
206;0;0;2;0;2;0
207;1;1;1;1;0;0
208;0;0;0;2;2;0
209;0;0;0;1;2;1
210;0;1;0;1;2;0
211;0;0;2;2;0;0
212;0;1;0;2;1;0
213;0;0;1;2;1;0
214;0;0;2;1;1;0
215;1;1;0;0;2;0
216;0;0;1;2;1;0
217;1;1;0;1;1;0
218;2;0;2;0;0;0
219;0;1;1;1;1;0
220;0;0;2;0;1;1
221;0;0;1;1;2;0
222;0;0;1;0;3;0
223;1;0;0;0;3;0
224;0;0;2;0;1;1
225;0;1;3;0;0;0
226;0;0;1;1;2;0
227;0;0;0;2;2;0
228;0;1;1;1;1;0
229;0;2;0;2;0;0
230;1;1;0;1;1;0
231;1;1;2;0;0;0
232;0;1;0;3;0;0
233;0;1;0;2;1;0
234;0;2;1;1;0;0
235;0;1;1;2;0;0
236;0;0;0;2;1;1
237;0;1;2;0;0;1
238;0;1;1;1;1;0
239;1;0;2;0;0;1
240;1;0;0;2;0;1
241;1;0;0;2;1;0
242;0;1;0;1;1;1
243;0;1;0;2;0;1
244;1;0;1;1;0;1
245;1;1;0;0;1;1
246;0;0;2;0;2;0
247;1;1;1;0;1;0
248;1;0;1;0;1;1
249;2;0;0;1;1;0
250;1;0;0;2;1;0
251;0;0;1;1;2;0
252;2;0;2;0;0;0
253;0;1;0;0;3;0
254;0;0;0;1;3;0
255;1;0;2;1;0;0
256;0;1;1;2;0;0
257;0;0;2;2;0;0
258;0;2;0;1;0;1
259;0;1;0;2;1;0
260;1;0;2;1;0;0
261;0;2;1;0;1;0
262;0;1;1;2;0;0
263;1;1;2;0;0;0
264;1;0;0;0;2;1
265;2;2;0;0;0;0
266;0;1;0;2;1;0
267;0;0;3;1;0;0
268;0;1;2;0;1;0
269;0;0;0;3;0;1
270;0;0;3;0;1;0
271;0;0;1;0;3;0
272;0;0;1;1;2;0
273;0;1;1;0;1;1
274;0;2;0;1;1;0
275;0;1;0;1;2;0
276;1;0;2;1;0;0
277;1;0;1;1;0;1
278;0;0;4;0;0;0
279;0;2;1;1;0;0
280;0;0;1;0;1;2
281;0;1;1;2;0;0
282;2;0;0;1;1;0
283;1;0;1;1;0;1
284;0;0;2;1;0;1
285;0;2;1;1;0;0
286;0;1;1;2;0;0
287;1;0;0;0;3;0
288;0;0;2;1;0;1
289;0;0;0;2;1;1
290;0;2;1;0;1;0
291;0;0;3;1;0;0
292;0;0;3;1;0;0
293;0;1;2;1;0;0
294;1;0;1;2;0;0
295;0;3;0;0;0;1
296;0;2;0;1;0;1
297;0;0;2;2;0;0
298;0;1;1;1;0;1
299;0;1;1;1;1;0
300;1;1;0;0;2;0
301;1;0;2;1;0;0
302;0;1;3;0;0;0
303;1;0;1;2;0;0
304;0;2;0;1;1;0
305;0;0;1;2;1;0
306;0;0;1;1;2;0
307;0;1;0;2;1;0
308;0;0;3;0;1;0
309;0;1;2;1;0;0
310;0;1;1;2;0;0
311;1;2;0;1;0;0
312;0;0;1;1;2;0
313;1;0;1;2;0;0
314;0;1;2;1;0;0
315;0;0;2;1;0;1
316;0;2;1;1;0;0
317;0;0;1;3;0;0
318;0;1;0;2;0;1
319;0;0;2;1;1;0
320;1;1;1;0;1;0
321;1;2;0;1;0;0
322;0;1;0;1;2;0
323;0;1;2;0;1;0
324;0;0;3;0;1;0
325;0;1;2;0;1;0
326;0;0;1;2;1;0
327;1;1;0;2;0;0
328;1;2;0;0;0;1
329;0;0;3;0;1;0
330;0;0;0;1;2;1
331;1;1;0;0;1;1
332;1;2;1;0;0;0
333;1;0;0;2;1;0
334;1;0;0;1;1;1
335;1;0;1;1;1;0
336;0;0;2;1;1;0
337;0;2;1;1;0;0
338;1;0;0;2;1;0
339;0;0;1;1;1;1
340;0;2;0;1;0;1
341;0;3;1;0;0;0
342;0;0;1;0;1;2
343;0;1;0;0;3;0
344;0;0;2;1;1;0
345;0;1;1;0;2;0
346;1;1;0;1;1;0
347;0;1;0;0;3;0
348;0;1;2;1;0;0
349;1;1;1;0;0;1
350;0;0;0;4;0;0
351;0;1;0;2;1;0
352;0;1;1;0;2;0
353;1;0;1;1;0;1
354;0;0;1;1;1;1
355;0;3;0;0;1;0
356;0;0;2;0;2;0
357;0;0;0;2;1;1
358;0;1;0;1;2;0
359;0;0;2;0;2;0
360;0;1;0;2;1;0
361;0;1;0;1;2;0
362;0;0;2;1;1;0
363;2;0;0;2;0;0
364;1;1;2;0;0;0
365;1;0;1;1;0;1
366;0;1;0;2;1;0
367;0;1;1;1;0;1
368;1;0;1;0;1;1
369;0;0;1;2;1;0
370;0;1;1;1;0;1
